symptom,disease
পাতা নরম spots, সার দেই নাই, Barisal style,Late Blight
পাতা নরম spots, pH কম আছে, Chittagong style,Late Blight
পাতা নরম spots, রোদ বেশি লাগতাছে, Chittagong style,Late Blight
ফল ভালো হইতাছে, spray দিছি, Sylhet style,Healthy
ফল deform হইছে, pH কম আছে, Barisal style,Yellow Leaf Curl
পাতা কালো দাগ হইছে, পানি বেশি দিতাছি, Chittagong style,Early Blight
নতুন পাতা বের হইতাছে না, pH কম আছে, Barisal style,Leaf Curl
পাতা ঝুলা হইছে, nitrogen কম, Sylhet style,Leaf Curl
পাতা সবুজ, পানি বেশি দিতাছি, Sylhet style,Healthy
নতুন পাতা বের হইতাছে না, pH কম আছে, Chittagong style,Leaf Curl
পাতা ঝুলা হইছে, বৃষ্টি বেশি হইছিল, Chittagong style,Leaf Curl
গাছ healthy, রোদ বেশি লাগতাছে, Chittagong style,Healthy
পাতা leaf drop হইতাছে, pH কম আছে, Chittagong style,Yellow Leaf Curl
পাতা হলুদ curl হইছে, রোদ বেশি লাগতাছে, Sylhet style,Yellow Leaf Curl
পাতা ঝুলা হইছে, রোদ বেশি লাগতাছে, Barisal style,Leaf Curl
ফল ভালো হইতাছে, সার দেই নাই, Sylhet style,Healthy
ফল deform হইছে, nitrogen কম, Sylhet style,Yellow Leaf Curl
পাতার উপরে ছোট কালো দাগ, পানি বেশি দিতাছি, Sylhet style,Early Blight
ফল deform হইছে, nitrogen কম, Chittagong style,Yellow Leaf Curl
গাছ stunted হইছে, pH কম আছে, Barisal style,Leaf Curl
পাতার উপরে ছোট কালো দাগ, pH কম আছে, Barisal style,Early Blight
পাতা ঝুলা হইছে, পানি বেশি দিতাছি, Barisal style,Leaf Curl
পাতা ring type দাগ, spray দিছি, Sylhet style,Early Blight
পাতা গুলি খোসা খোসা দাগ দিচ্ছে, সার দেই নাই, Sylhet style,Early Blight
পাতার উপরে ছোট কালো দাগ, পানি বেশি দিতাছি, Barisal style,Early Blight
পাতা নরম spots, nitrogen কম, Chittagong style,Late Blight
পাতা curl হইছে, সার দেই নাই, Sylhet style,Leaf Curl
পাতা পচে যাইতাছে, spray দিছি, Chittagong style,Late Blight
পাতা ring type দাগ, পানি বেশি দিতাছি, Sylhet style,Early Blight
leaf strong, বৃষ্টি বেশি হইছিল, Chittagong style,Healthy
ফল ভালো হইতাছে, সার দেই নাই, Barisal style,Healthy
ফল ভালো হইতাছে, nitrogen কম, Sylhet style,Healthy
পাতা গুলি খোসা খোসা দাগ দিচ্ছে, পানি বেশি দিতাছি, Chittagong style,Early Blight
পাতার নীচে লাল দাগ, পানি বেশি দিতাছি, Barisal style,Late Blight
পাতা সবুজ, nitrogen কম, Barisal style,Healthy
leaf strong, বৃষ্টি বেশি হইছিল, Barisal style,Healthy
পাতা ring type দাগ, পানি বেশি দিতাছি, Chittagong style,Early Blight
পাতার উপরে ছোট কালো দাগ, পানি বেশি দিতাছি, Chittagong style,Early Blight
পাতা leaf drop হইতাছে, পানি বেশি দিতাছি, Sylhet style,Yellow Leaf Curl
পাতার উপরে ছোট কালো দাগ, nitrogen কম, Barisal style,Early Blight
ফল deform হইছে, nitrogen কম, Barisal style,Yellow Leaf Curl
পাতা কালো দাগ হইছে, সার দেই নাই, Barisal style,Early Blight
পাতা সবুজ, pH কম আছে, Chittagong style,Healthy
পাতা কালো দাগ হইছে, সার দেই নাই, Sylhet style,Early Blight
পাতা হলুদ curl হইছে, pH কম আছে, Barisal style,Yellow Leaf Curl
leaf strong, বৃষ্টি বেশি হইছিল, Sylhet style,Healthy
গাছ healthy, সার দেই নাই, Barisal style,Healthy
ফলও black spot দিচ্ছে, spray দিছি, Chittagong style,Late Blight
পাতা পচে যাইতাছে, পানি বেশি দিতাছি, Sylhet style,Late Blight
পাতা পচে যাইতাছে, পানি বেশি দিতাছি, Barisal style,Late Blight
পাতার উপরে ছোট কালো দাগ, বৃষ্টি বেশি হইছিল, Sylhet style,Early Blight
পাতা সবুজ, বৃষ্টি বেশি হইছিল, Sylhet style,Healthy
গাছ slow growth, রোদ বেশি লাগতাছে, Sylhet style,Yellow Leaf Curl
ফল ভালো হইতাছে, pH কম আছে, Barisal style,Healthy
পাতা সবুজ, pH কম আছে, Barisal style,Healthy
পাতা গুলি খোসা খোসা দাগ দিচ্ছে, spray দিছি, Barisal style,Early Blight
পাতা কালো দাগ হইছে, বৃষ্টি বেশি হইছিল, Barisal style,Early Blight
পাতার উপরে ছোট কালো দাগ, spray দিছি, Chittagong style,Early Blight
ফলও black spot দিচ্ছে, pH কম আছে, Chittagong style,Late Blight
পাতা leaf drop হইতাছে, spray দিছি, Sylhet style,Yellow Leaf Curl
ফল ভালো হইতাছে, nitrogen কম, Chittagong style,Healthy
leaf strong, spray দিছি, Barisal style,Healthy
পাতা curl হইছে, রোদ বেশি লাগতাছে, Barisal style,Leaf Curl
পাতার উপরে ছোট কালো দাগ, সার দেই নাই, Barisal style,Early Blight
ফল deform হইছে, বৃষ্টি বেশি হইছিল, Barisal style,Yellow Leaf Curl
পাতা ring type দাগ, spray দিছি, Barisal style,Early Blight
পাতা পচে যাইতাছে, nitrogen কম, Sylhet style,Late Blight
গাছ slow growth, সার দেই নাই, Chittagong style,Yellow Leaf Curl
পাতা সবুজ, রোদ বেশি লাগতাছে, Barisal style,Healthy
গাছ stunted হইছে, পানি বেশি দিতাছি, Barisal style,Leaf Curl
পাতা curl হইছে, সার দেই নাই, Barisal style,Leaf Curl
পাতা কালো দাগ হইছে, spray দিছি, Chittagong style,Early Blight
পাতা সবুজ, spray দিছি, Chittagong style,Healthy
নতুন পাতা বের হইতাছে না, পানি বেশি দিতাছি, Sylhet style,Leaf Curl
পাতা ring type দাগ, সার দেই নাই, Barisal style,Early Blight
নতুন পাতা বের হইতাছে না, সার দেই নাই, Chittagong style,Leaf Curl
পাতার নীচে লাল দাগ, পানি বেশি দিতাছি, Chittagong style,Late Blight
নতুন পাতা বের হইতাছে না, nitrogen কম, Sylhet style,Leaf Curl
পাতা পচে যাইতাছে, পানি বেশি দিতাছি, Chittagong style,Late Blight
পাতা curl হইছে, pH কম আছে, Chittagong style,Leaf Curl
ফল ভালো হইতাছে, বৃষ্টি বেশি হইছিল, Sylhet style,Healthy
পাতা ring type দাগ, সার দেই নাই, Sylhet style,Early Blight
গাছ stunted হইছে, pH কম আছে, Chittagong style,Leaf Curl
নতুন পাতা বের হইতাছে না, spray দিছি, Barisal style,Leaf Curl
পাতা ঝুলা হইছে, সার দেই নাই, Barisal style,Leaf Curl
গাছ healthy, spray দিছি, Sylhet style,Healthy
গাছ healthy, বৃষ্টি বেশি হইছিল, Barisal style,Healthy
পাতা ring type দাগ, pH কম আছে, Chittagong style,Early Blight
পাতার নীচে লাল দাগ, pH কম আছে, Sylhet style,Late Blight
গাছ slow growth, spray দিছি, Chittagong style,Yellow Leaf Curl
পাতা গুলি খোসা খোসা দাগ দিচ্ছে, সার দেই নাই, Barisal style,Early Blight
গাছ slow growth, pH কম আছে, Barisal style,Yellow Leaf Curl
পাতা পচে যাইতাছে, রোদ বেশি লাগতাছে, Chittagong style,Late Blight
পাতা সবুজ, nitrogen কম, Chittagong style,Healthy
গাছ slow growth, nitrogen কম, Sylhet style,Yellow Leaf Curl
পাতা হলুদ curl হইছে, nitrogen কম, Chittagong style,Yellow Leaf Curl
পাতার নীচে লাল দাগ, nitrogen কম, Barisal style,Late Blight
পাতা সবুজ, nitrogen কম, Sylhet style,Healthy
পাতা ring type দাগ, রোদ বেশি লাগতাছে, Barisal style,Early Blight
গাছ stunted হইছে, রোদ বেশি লাগতাছে, Sylhet style,Leaf Curl
পাতার নীচে লাল দাগ, রোদ বেশি লাগতাছে, Chittagong style,Late Blight
leaf strong, pH কম আছে, Barisal style,Healthy
গাছ slow growth, nitrogen কম, Chittagong style,Yellow Leaf Curl
পাতা leaf drop হইতাছে, pH কম আছে, Sylhet style,Yellow Leaf Curl
গাছ slow growth, রোদ বেশি লাগতাছে, Barisal style,Yellow Leaf Curl
পাতা সবুজ, সার দেই নাই, Chittagong style,Healthy
পাতার নীচে লাল দাগ, spray দিছি, Chittagong style,Late Blight
গাছ healthy, nitrogen কম, Barisal style,Healthy
পাতা পচে যাইতাছে, nitrogen কম, Chittagong style,Late Blight
গাছ healthy, spray দিছি, Chittagong style,Healthy
পাতার নীচে লাল দাগ, রোদ বেশি লাগতাছে, Sylhet style,Late Blight
গাছ slow growth, বৃষ্টি বেশি হইছিল, Sylhet style,Yellow Leaf Curl
গাছ stunted হইছে, pH কম আছে, Sylhet style,Leaf Curl
পাতা নরম spots, সার দেই নাই, Chittagong style,Late Blight
গাছ stunted হইছে, nitrogen কম, Barisal style,Leaf Curl
গাছ stunted হইছে, spray দিছি, Sylhet style,Leaf Curl
পাতা পচে যাইতাছে, সার দেই নাই, Barisal style,Late Blight
গাছ slow growth, nitrogen কম, Barisal style,Yellow Leaf Curl
পাতা পচে যাইতাছে, pH কম আছে, Sylhet style,Late Blight
পাতার উপরে ছোট কালো দাগ, রোদ বেশি লাগতাছে, Barisal style,Early Blight
পাতার নীচে লাল দাগ, nitrogen কম, Chittagong style,Late Blight
leaf strong, রোদ বেশি লাগতাছে, Sylhet style,Healthy
পাতা সবুজ, সার দেই নাই, Sylhet style,Healthy
ফলও black spot দিচ্ছে, পানি বেশি দিতাছি, Chittagong style,Late Blight
পাতা নরম spots, সার দেই নাই, Sylhet style,Late Blight
leaf strong, nitrogen কম, Barisal style,Healthy
পাতা leaf drop হইতাছে, সার দেই নাই, Sylhet style,Yellow Leaf Curl
পাতার উপরে ছোট কালো দাগ, সার দেই নাই, Sylhet style,Early Blight
পাতা সবুজ, বৃষ্টি বেশি হইছিল, Barisal style,Healthy
leaf strong, পানি বেশি দিতাছি, Barisal style,Healthy
পাতার উপরে ছোট কালো দাগ, রোদ বেশি লাগতাছে, Chittagong style,Early Blight
পাতা ঝুলা হইছে, nitrogen কম, Barisal style,Leaf Curl
পাতার নীচে লাল দাগ, বৃষ্টি বেশি হইছিল, Chittagong style,Late Blight
নতুন পাতা বের হইতাছে না, রোদ বেশি লাগতাছে, Chittagong style,Leaf Curl
ফলও black spot দিচ্ছে, রোদ বেশি লাগতাছে, Barisal style,Late Blight
ফলও black spot দিচ্ছে, spray দিছি, Barisal style,Late Blight
ফল ভালো হইতাছে, spray দিছি, Barisal style,Healthy
পাতা পচে যাইতাছে, বৃষ্টি বেশি হইছিল, Barisal style,Late Blight
পাতা সবুজ, রোদ বেশি লাগতাছে, Chittagong style,Healthy
গাছ healthy, বৃষ্টি বেশি হইছিল, Sylhet style,Healthy
ফল deform হইছে, সার দেই নাই, Chittagong style,Yellow Leaf Curl
ফল ভালো হইতাছে, spray দিছি, Chittagong style,Healthy
পাতা হলুদ curl হইছে, pH কম আছে, Chittagong style,Yellow Leaf Curl
পাতা curl হইছে, বৃষ্টি বেশি হইছিল, Sylhet style,Leaf Curl
পাতার উপরে ছোট কালো দাগ, nitrogen কম, Chittagong style,Early Blight
ফল ভালো হইতাছে, পানি বেশি দিতাছি, Chittagong style,Healthy
নতুন পাতা বের হইতাছে না, সার দেই নাই, Sylhet style,Leaf Curl
পাতার উপরে ছোট কালো দাগ, spray দিছি, Barisal style,Early Blight
পাতা curl হইছে, spray দিছি, Sylhet style,Leaf Curl
পাতা কালো দাগ হইছে, পানি বেশি দিতাছি, Sylhet style,Early Blight
পাতা হলুদ curl হইছে, spray দিছি, Sylhet style,Yellow Leaf Curl
গাছ slow growth, spray দিছি, Barisal style,Yellow Leaf Curl
ফলও black spot দিচ্ছে, পানি বেশি দিতাছি, Barisal style,Late Blight
পাতা curl হইছে, পানি বেশি দিতাছি, Barisal style,Leaf Curl
পাতা ring type দাগ, পানি বেশি দিতাছি, Barisal style,Early Blight
পাতা গুলি খোসা খোসা দাগ দিচ্ছে, nitrogen কম, Barisal style,Early Blight
গাছ slow growth, pH কম আছে, Sylhet style,Yellow Leaf Curl
পাতা ঝুলা হইছে, spray দিছি, Sylhet style,Leaf Curl
leaf strong, nitrogen কম, Sylhet style,Healthy
পাতা ring type দাগ, রোদ বেশি লাগতাছে, Chittagong style,Early Blight
ফল deform হইছে, পানি বেশি দিতাছি, Chittagong style,Yellow Leaf Curl
পাতা curl হইছে, pH কম আছে, Barisal style,Leaf Curl
ফল deform হইছে, বৃষ্টি বেশি হইছিল, Sylhet style,Yellow Leaf Curl
গাছ healthy, pH কম আছে, Chittagong style,Healthy
ফল ভালো হইতাছে, nitrogen কম, Barisal style,Healthy
ফল ভালো হইতাছে, পানি বেশি দিতাছি, Barisal style,Healthy
পাতা curl হইছে, nitrogen কম, Chittagong style,Leaf Curl
পাতা ঝুলা হইছে, রোদ বেশি লাগতাছে, Sylhet style,Leaf Curl
পাতা curl হইছে, সার দেই নাই, Chittagong style,Leaf Curl
পাতা নরম spots, spray দিছি, Sylhet style,Late Blight
পাতা গুলি খোসা খোসা দাগ দিচ্ছে, nitrogen কম, Chittagong style,Early Blight
পাতা curl হইছে, রোদ বেশি লাগতাছে, Chittagong style,Leaf Curl
leaf strong, pH কম আছে, Chittagong style,Healthy
পাতার নীচে লাল দাগ, সার দেই নাই, Barisal style,Late Blight
ফল deform হইছে, spray দিছি, Chittagong style,Yellow Leaf Curl
পাতা নরম spots, বৃষ্টি বেশি হইছিল, Barisal style,Late Blight
পাতার নীচে লাল দাগ, pH কম আছে, Barisal style,Late Blight
গাছ slow growth, বৃষ্টি বেশি হইছিল, Barisal style,Yellow Leaf Curl
পাতা হলুদ curl হইছে, spray দিছি, Barisal style,Yellow Leaf Curl
পাতা কালো দাগ হইছে, pH কম আছে, Chittagong style,Early Blight
পাতা কালো দাগ হইছে, nitrogen কম, Sylhet style,Early Blight
পাতার নীচে লাল দাগ, pH কম আছে, Chittagong style,Late Blight
পাতা leaf drop হইতাছে, সার দেই নাই, Barisal style,Yellow Leaf Curl
পাতা গুলি খোসা খোসা দাগ দিচ্ছে, পানি বেশি দিতাছি, Barisal style,Early Blight
পাতা leaf drop হইতাছে, রোদ বেশি লাগতাছে, Chittagong style,Yellow Leaf Curl
পাতা নরম spots, পানি বেশি দিতাছি, Sylhet style,Late Blight
গাছ stunted হইছে, পানি বেশি দিতাছি, Chittagong style,Leaf Curl
গাছ healthy, nitrogen কম, Sylhet style,Healthy
পাতা সবুজ, পানি বেশি দিতাছি, Chittagong style,Healthy
পাতা হলুদ curl হইছে, রোদ বেশি লাগতাছে, Chittagong style,Yellow Leaf Curl
গাছ healthy, রোদ বেশি লাগতাছে, Barisal style,Healthy
গাছ stunted হইছে, nitrogen কম, Sylhet style,Leaf Curl
leaf strong, পানি বেশি দিতাছি, Sylhet style,Healthy
পাতা হলুদ curl হইছে, spray দিছি, Chittagong style,Yellow Leaf Curl
পাতার উপরে ছোট কালো দাগ, pH কম আছে, Chittagong style,Early Blight
গাছ slow growth, বৃষ্টি বেশি হইছিল, Chittagong style,Yellow Leaf Curl
নতুন পাতা বের হইতাছে না, pH কম আছে, Sylhet style,Leaf Curl
ফলও black spot দিচ্ছে, সার দেই নাই, Chittagong style,Late Blight
পাতা leaf drop হইতাছে, nitrogen কম, Barisal style,Yellow Leaf Curl
পাতা curl হইছে, spray দিছি, Barisal style,Leaf Curl
পাতা নরম spots, বৃষ্টি বেশি হইছিল, Sylhet style,Late Blight
পাতা ঝুলা হইছে, সার দেই নাই, Sylhet style,Leaf Curl
পাতা ring type দাগ, spray দিছি, Chittagong style,Early Blight
ফল ভালো হইতাছে, রোদ বেশি লাগতাছে, Sylhet style,Healthy
নতুন পাতা বের হইতাছে না, বৃষ্টি বেশি হইছিল, Sylhet style,Leaf Curl
পাতা ঝুলা হইছে, nitrogen কম, Chittagong style,Leaf Curl
পাতা নরম spots, পানি বেশি দিতাছি, Chittagong style,Late Blight
ফলও black spot দিচ্ছে, রোদ বেশি লাগতাছে, Chittagong style,Late Blight
পাতা curl হইছে, পানি বেশি দিতাছি, Chittagong style,Leaf Curl
পাতার উপরে ছোট কালো দাগ, spray দিছি, Sylhet style,Early Blight
পাতা গুলি খোসা খোসা দাগ দিচ্ছে, nitrogen কম, Sylhet style,Early Blight
পাতা সবুজ, বৃষ্টি বেশি হইছিল, Chittagong style,Healthy
