symptom,disease
ফলও black spot দিচ্ছে, সার দেই নাই, Sylhet style,Late Blight
ফল deform হইছে, রোদ বেশি লাগতাছে, Sylhet style,Yellow Leaf Curl
নতুন পাতা বের হইতাছে না, বৃষ্টি বেশি হইছিল, Chittagong style,Leaf Curl
গাছ healthy, সার দেই নাই, Chittagong style,Healthy
পাতা কালো দাগ হইছে, সার দেই নাই, Chittagong style,Early Blight
ফলও black spot দিচ্ছে, nitrogen কম, Sylhet style,Late Blight
পাতা গুলি খোসা খোসা দাগ দিচ্ছে, সার দেই নাই, Chittagong style,Early Blight
পাতা সবুজ, spray দিছি, Barisal style,Healthy
পাতা হলুদ curl হইছে, রোদ বেশি লাগতাছে, Barisal style,Yellow Leaf Curl
নতুন পাতা বের হইতাছে না, পানি বেশি দিতাছি, Chittagong style,Leaf Curl
পাতা হলুদ curl হইছে, বৃষ্টি বেশি হইছিল, Chittagong style,Yellow Leaf Curl
পাতার নীচে লাল দাগ, বৃষ্টি বেশি হইছিল, Sylhet style,Late Blight
পাতা curl হইছে, পানি বেশি দিতাছি, Sylhet style,Leaf Curl
পাতা হলুদ curl হইছে, pH কম আছে, Sylhet style,Yellow Leaf Curl
নতুন পাতা বের হইতাছে না, রোদ বেশি লাগতাছে, Barisal style,Leaf Curl
গাছ slow growth, পানি বেশি দিতাছি, Barisal style,Yellow Leaf Curl
ফলও black spot দিচ্ছে, nitrogen কম, Chittagong style,Late Blight
পাতার উপরে ছোট কালো দাগ, nitrogen কম, Sylhet style,Early Blight
পাতা নরম spots, spray দিছি, Chittagong style,Late Blight
পাতা leaf drop হইতাছে, পানি বেশি দিতাছি, Chittagong style,Yellow Leaf Curl
পাতার উপরে ছোট কালো দাগ, বৃষ্টি বেশি হইছিল, Chittagong style,Early Blight
পাতা নরম spots, রোদ বেশি লাগতাছে, Barisal style,Late Blight
নতুন পাতা বের হইতাছে না, সার দেই নাই, Barisal style,Leaf Curl
পাতা leaf drop হইতাছে, spray দিছি, Barisal style,Yellow Leaf Curl
পাতা হলুদ curl হইছে, পানি বেশি দিতাছি, Sylhet style,Yellow Leaf Curl
পাতা গুলি খোসা খোসা দাগ দিচ্ছে, spray দিছি, Sylhet style,Early Blight
পাতা কালো দাগ হইছে, pH কম আছে, Barisal style,Early Blight
পাতা নরম spots, pH কম আছে, Sylhet style,Late Blight
পাতা ring type দাগ, বৃষ্টি বেশি হইছিল, Chittagong style,Early Blight
গাছ stunted হইছে, spray দিছি, Barisal style,Leaf Curl
ফল ভালো হইতাছে, pH কম আছে, Chittagong style,Healthy
ফল deform হইছে, সার দেই নাই, Barisal style,Yellow Leaf Curl
গাছ healthy, বৃষ্টি বেশি হইছিল, Chittagong style,Healthy
পাতা গুলি খোসা খোসা দাগ দিচ্ছে, রোদ বেশি লাগতাছে, Barisal style,Early Blight
ফলও black spot দিচ্ছে, pH কম আছে, Barisal style,Late Blight
পাতা পচে যাইতাছে, রোদ বেশি লাগতাছে, Sylhet style,Late Blight
পাতা হলুদ curl হইছে, সার দেই নাই, Sylhet style,Yellow Leaf Curl
পাতা leaf drop হইতাছে, রোদ বেশি লাগতাছে, Sylhet style,Yellow Leaf Curl
leaf strong, পানি বেশি দিতাছি, Chittagong style,Healthy
ফলও black spot দিচ্ছে, nitrogen কম, Barisal style,Late Blight
পাতার নীচে লাল দাগ, nitrogen কম, Sylhet style,Late Blight
গাছ stunted হইছে, পানি বেশি দিতাছি, Sylhet style,Leaf Curl
পাতা curl হইছে, spray দিছি, Chittagong style,Leaf Curl
গাছ healthy, রোদ বেশি লাগতাছে, Sylhet style,Healthy
পাতা কালো দাগ হইছে, বৃষ্টি বেশি হইছিল, Chittagong style,Early Blight
পাতা নরম spots, nitrogen কম, Sylhet style,Late Blight
পাতা নরম spots, nitrogen কম, Barisal style,Late Blight
leaf strong, সার দেই নাই, Sylhet style,Healthy
পাতা কালো দাগ হইছে, বৃষ্টি বেশি হইছিল, Sylhet style,Early Blight
পাতা কালো দাগ হইছে, nitrogen কম, Chittagong style,Early Blight
পাতা ঝুলা হইছে, পানি বেশি দিতাছি, Sylhet style,Leaf Curl
ফল deform হইছে, spray দিছি, Barisal style,Yellow Leaf Curl
নতুন পাতা বের হইতাছে না, পানি বেশি দিতাছি, Barisal style,Leaf Curl
পাতা ring type দাগ, pH কম আছে, Sylhet style,Early Blight
পাতা পচে যাইতাছে, সার দেই নাই, Sylhet style,Late Blight
পাতা ঝুলা হইছে, spray দিছি, Barisal style,Leaf Curl
পাতা হলুদ curl হইছে, পানি বেশি দিতাছি, Chittagong style,Yellow Leaf Curl
ফল deform হইছে, রোদ বেশি লাগতাছে, Chittagong style,Yellow Leaf Curl
পাতা নরম spots, spray দিছি, Barisal style,Late Blight
পাতা নরম spots, রোদ বেশি লাগতাছে, Sylhet style,Late Blight
গাছ slow growth, পানি বেশি দিতাছি, Sylhet style,Yellow Leaf Curl
পাতা leaf drop হইতাছে, বৃষ্টি বেশি হইছিল, Sylhet style,Yellow Leaf Curl
leaf strong, nitrogen কম, Chittagong style,Healthy
গাছ slow growth, সার দেই নাই, Sylhet style,Yellow Leaf Curl
ফল deform হইছে, পানি বেশি দিতাছি, Barisal style,Yellow Leaf Curl
পাতা কালো দাগ হইছে, spray দিছি, Sylhet style,Early Blight
leaf strong, সার দেই নাই, Chittagong style,Healthy
গাছ healthy, সার দেই নাই, Sylhet style,Healthy
পাতা ঝুলা হইছে, pH কম আছে, Chittagong style,Leaf Curl
পাতা curl হইছে, রোদ বেশি লাগতাছে, Sylhet style,Leaf Curl
গাছ stunted হইছে, বৃষ্টি বেশি হইছিল, Sylhet style,Leaf Curl
পাতার নীচে লাল দাগ, রোদ বেশি লাগতাছে, Barisal style,Late Blight
পাতা ring type দাগ, রোদ বেশি লাগতাছে, Sylhet style,Early Blight
পাতা পচে যাইতাছে, pH কম আছে, Chittagong style,Late Blight
গাছ stunted হইছে, সার দেই নাই, Sylhet style,Leaf Curl
গাছ stunted হইছে, বৃষ্টি বেশি হইছিল, Chittagong style,Leaf Curl
পাতা ring type দাগ, nitrogen কম, Chittagong style,Early Blight
পাতা leaf drop হইতাছে, সার দেই নাই, Chittagong style,Yellow Leaf Curl
পাতা গুলি খোসা খোসা দাগ দিচ্ছে, রোদ বেশি লাগতাছে, Sylhet style,Early Blight
পাতা গুলি খোসা খোসা দাগ দিচ্ছে, pH কম আছে, Sylhet style,Early Blight
গাছ healthy, পানি বেশি দিতাছি, Barisal style,Healthy
নতুন পাতা বের হইতাছে না, বৃষ্টি বেশি হইছিল, Barisal style,Leaf Curl
ফল deform হইছে, পানি বেশি দিতাছি, Sylhet style,Yellow Leaf Curl
পাতা curl হইছে, pH কম আছে, Sylhet style,Leaf Curl
ফলও black spot দিচ্ছে, পানি বেশি দিতাছি, Sylhet style,Late Blight
ফলও black spot দিচ্ছে, সার দেই নাই, Barisal style,Late Blight
পাতা হলুদ curl হইছে, বৃষ্টি বেশি হইছিল, Sylhet style,Yellow Leaf Curl
leaf strong, spray দিছি, Sylhet style,Healthy
পাতা ring type দাগ, nitrogen কম, Barisal style,Early Blight
ফলও black spot দিচ্ছে, বৃষ্টি বেশি হইছিল, Chittagong style,Late Blight
গাছ slow growth, রোদ বেশি লাগতাছে, Chittagong style,Yellow Leaf Curl
ফল ভালো হইতাছে, বৃষ্টি বেশি হইছিল, Chittagong style,Healthy
পাতা ঝুলা হইছে, spray দিছি, Chittagong style,Leaf Curl
পাতা ঝুলা হইছে, pH কম আছে, Barisal style,Leaf Curl
ফল deform হইছে, সার দেই নাই, Sylhet style,Yellow Leaf Curl
পাতা curl হইছে, বৃষ্টি বেশি হইছিল, Barisal style,Leaf Curl
পাতা leaf drop হইতাছে, বৃষ্টি বেশি হইছিল, Chittagong style,Yellow Leaf Curl
নতুন পাতা বের হইতাছে না, রোদ বেশি লাগতাছে, Sylhet style,Leaf Curl
গাছ stunted হইছে, সার দেই নাই, Chittagong style,Leaf Curl
পাতার নীচে লাল দাগ, spray দিছি, Sylhet style,Late Blight
পাতা curl হইছে, বৃষ্টি বেশি হইছিল, Chittagong style,Leaf Curl
পাতা কালো দাগ হইছে, পানি বেশি দিতাছি, Barisal style,Early Blight
পাতা হলুদ curl হইছে, nitrogen কম, Sylhet style,Yellow Leaf Curl
পাতা পচে যাইতাছে, বৃষ্টি বেশি হইছিল, Sylhet style,Late Blight
পাতা কালো দাগ হইছে, রোদ বেশি লাগতাছে, Barisal style,Early Blight
পাতার নীচে লাল দাগ, সার দেই নাই, Chittagong style,Late Blight
পাতার নীচে লাল দাগ, বৃষ্টি বেশি হইছিল, Barisal style,Late Blight
ফল deform হইছে, বৃষ্টি বেশি হইছিল, Chittagong style,Yellow Leaf Curl
পাতা ঝুলা হইছে, pH কম আছে, Sylhet style,Leaf Curl
গাছ stunted হইছে, spray দিছি, Chittagong style,Leaf Curl
leaf strong, spray দিছি, Chittagong style,Healthy
নতুন পাতা বের হইতাছে না, nitrogen কম, Chittagong style,Leaf Curl
গাছ healthy, পানি বেশি দিতাছি, Chittagong style,Healthy
পাতা নরম spots, পানি বেশি দিতাছি, Barisal style,Late Blight
পাতা গুলি খোসা খোসা দাগ দিচ্ছে, পানি বেশি দিতাছি, Sylhet style,Early Blight
পাতা leaf drop হইতাছে, বৃষ্টি বেশি হইছিল, Barisal style,Yellow Leaf Curl
পাতা পচে যাইতাছে, সার দেই নাই, Chittagong style,Late Blight
পাতা ঝুলা হইছে, রোদ বেশি লাগতাছে, Chittagong style,Leaf Curl
পাতা গুলি খোসা খোসা দাগ দিচ্ছে, pH কম আছে, Chittagong style,Early Blight
পাতা নরম spots, বৃষ্টি বেশি হইছিল, Chittagong style,Late Blight
গাছ stunted হইছে, nitrogen কম, Chittagong style,Leaf Curl
পাতা leaf drop হইতাছে, pH কম আছে, Barisal style,Yellow Leaf Curl
পাতা গুলি খোসা খোসা দাগ দিচ্ছে, রোদ বেশি লাগতাছে, Chittagong style,Early Blight
গাছ healthy, pH কম আছে, Barisal style,Healthy
পাতা curl হইছে, nitrogen কম, Barisal style,Leaf Curl
গাছ stunted হইছে, সার দেই নাই, Barisal style,Leaf Curl
পাতা leaf drop হইতাছে, nitrogen কম, Chittagong style,Yellow Leaf Curl
গাছ stunted হইছে, রোদ বেশি লাগতাছে, Chittagong style,Leaf Curl
পাতা পচে যাইতাছে, spray দিছি, Barisal style,Late Blight
পাতার নীচে লাল দাগ, spray দিছি, Barisal style,Late Blight
পাতা ring type দাগ, বৃষ্টি বেশি হইছিল, Barisal style,Early Blight
ফলও black spot দিচ্ছে, spray দিছি, Sylhet style,Late Blight
ফলও black spot দিচ্ছে, বৃষ্টি বেশি হইছিল, Barisal style,Late Blight
পাতার উপরে ছোট কালো দাগ, pH কম আছে, Sylhet style,Early Blight
পাতা কালো দাগ হইছে, রোদ বেশি লাগতাছে, Chittagong style,Early Blight
ফল ভালো হইতাছে, রোদ বেশি লাগতাছে, Barisal style,Healthy
পাতা ring type দাগ, nitrogen কম, Sylhet style,Early Blight
ফল ভালো হইতাছে, বৃষ্টি বেশি হইছিল, Barisal style,Healthy
পাতা ring type দাগ, সার দেই নাই, Chittagong style,Early Blight
পাতা ঝুলা হইছে, বৃষ্টি বেশি হইছিল, Barisal style,Leaf Curl
পাতা leaf drop হইতাছে, রোদ বেশি লাগতাছে, Barisal style,Yellow Leaf Curl
leaf strong, রোদ বেশি লাগতাছে, Barisal style,Healthy
গাছ slow growth, spray দিছি, Sylhet style,Yellow Leaf Curl
ফল ভালো হইতাছে, রোদ বেশি লাগতাছে, Chittagong style,Healthy
পাতার উপরে ছোট কালো দাগ, বৃষ্টি বেশি হইছিল, Barisal style,Early Blight
গাছ stunted হইছে, রোদ বেশি লাগতাছে, Barisal style,Leaf Curl
ফলও black spot দিচ্ছে, রোদ বেশি লাগতাছে, Sylhet style,Late Blight
পাতার নীচে লাল দাগ, পানি বেশি দিতাছি, Sylhet style,Late Blight
ফলও black spot দিচ্ছে, pH কম আছে, Sylhet style,Late Blight
গাছ healthy, pH কম আছে, Sylhet style,Healthy
পাতা কালো দাগ হইছে, pH কম আছে, Sylhet style,Early Blight
পাতা ঝুলা হইছে, সার দেই নাই, Chittagong style,Leaf Curl
পাতা হলুদ curl হইছে, nitrogen কম, Barisal style,Yellow Leaf Curl
পাতা সবুজ, রোদ বেশি লাগতাছে, Sylhet style,Healthy
নতুন পাতা বের হইতাছে না, nitrogen কম, Barisal style,Leaf Curl
পাতা গুলি খোসা খোসা দাগ দিচ্ছে, spray দিছি, Chittagong style,Early Blight
পাতা হলুদ curl হইছে, সার দেই নাই, Chittagong style,Yellow Leaf Curl
গাছ healthy, spray দিছি, Barisal style,Healthy
পাতা পচে যাইতাছে, spray দিছি, Sylhet style,Late Blight
ফল deform হইছে, pH কম আছে, Sylhet style,Yellow Leaf Curl
পাতা গুলি খোসা খোসা দাগ দিচ্ছে, pH কম আছে, Barisal style,Early Blight
পাতা পচে যাইতাছে, বৃষ্টি বেশি হইছিল, Chittagong style,Late Blight
leaf strong, সার দেই নাই, Barisal style,Healthy
পাতা ring type দাগ, বৃষ্টি বেশি হইছিল, Sylhet style,Early Blight
পাতা গুলি খোসা খোসা দাগ দিচ্ছে, বৃষ্টি বেশি হইছিল, Chittagong style,Early Blight
পাতার নীচে লাল দাগ, সার দেই নাই, Sylhet style,Late Blight
পাতা হলুদ curl হইছে, পানি বেশি দিতাছি, Barisal style,Yellow Leaf Curl
পাতা ঝুলা হইছে, বৃষ্টি বেশি হইছিল, Sylhet style,Leaf Curl
পাতা সবুজ, pH কম আছে, Sylhet style,Healthy
পাতা হলুদ curl হইছে, সার দেই নাই, Barisal style,Yellow Leaf Curl
পাতা সবুজ, পানি বেশি দিতাছি, Barisal style,Healthy
পাতা ring type দাগ, pH কম আছে, Barisal style,Early Blight
গাছ slow growth, পানি বেশি দিতাছি, Chittagong style,Yellow Leaf Curl
পাতা পচে যাইতাছে, pH কম আছে, Barisal style,Late Blight
leaf strong, pH কম আছে, Sylhet style,Healthy
গাছ slow growth, pH কম আছে, Chittagong style,Yellow Leaf Curl
ফল deform হইছে, রোদ বেশি লাগতাছে, Barisal style,Yellow Leaf Curl
গাছ stunted হইছে, বৃষ্টি বেশি হইছিল, Barisal style,Leaf Curl
ফল ভালো হইতাছে, পানি বেশি দিতাছি, Sylhet style,Healthy
leaf strong, রোদ বেশি লাগতাছে, Chittagong style,Healthy
পাতা সবুজ, সার দেই নাই, Barisal style,Healthy
পাতা সবুজ, spray দিছি, Sylhet style,Healthy
নতুন পাতা বের হইতাছে না, spray দিছি, Sylhet style,Leaf Curl
পাতার উপরে ছোট কালো দাগ, সার দেই নাই, Chittagong style,Early Blight
পাতা নরম spots, pH কম আছে, Barisal style,Late Blight
ফলও black spot দিচ্ছে, বৃষ্টি বেশি হইছিল, Sylhet style,Late Blight
গাছ slow growth, সার দেই নাই, Barisal style,Yellow Leaf Curl
ফল ভালো হইতাছে, সার দেই নাই, Chittagong style,Healthy
পাতা হলুদ curl হইছে, বৃষ্টি বেশি হইছিল, Barisal style,Yellow Leaf Curl
পাতা ঝুলা হইছে, পানি বেশি দিতাছি, Chittagong style,Leaf Curl
পাতা কালো দাগ হইছে, spray দিছি, Barisal style,Early Blight
ফল ভালো হইতাছে, pH কম আছে, Sylhet style,Healthy
পাতা গুলি খোসা খোসা দাগ দিচ্ছে, বৃষ্টি বেশি হইছিল, Barisal style,Early Blight
পাতার উপরে ছোট কালো দাগ, রোদ বেশি লাগতাছে, Sylhet style,Early Blight
পাতা leaf drop হইতাছে, nitrogen কম, Sylhet style,Yellow Leaf Curl
গাছ healthy, nitrogen কম, Chittagong style,Healthy
পাতা curl হইছে, nitrogen কম, Sylhet style,Leaf Curl
পাতা কালো দাগ হইছে, nitrogen কম, Barisal style,Early Blight
পাতা গুলি খোসা খোসা দাগ দিচ্ছে, বৃষ্টি বেশি হইছিল, Sylhet style,Early Blight
ফল deform হইছে, spray দিছি, Sylhet style,Yellow Leaf Curl
গাছ healthy, পানি বেশি দিতাছি, Sylhet style,Healthy
পাতা পচে যাইতাছে, রোদ বেশি লাগতাছে, Barisal style,Late Blight
নতুন পাতা বের হইতাছে না, spray দিছি, Chittagong style,Leaf Curl
ফল deform হইছে, pH কম আছে, Chittagong style,Yellow Leaf Curl
পাতা পচে যাইতাছে, nitrogen কম, Barisal style,Late Blight
পাতা কালো দাগ হইছে, রোদ বেশি লাগতাছে, Sylhet style,Early Blight
পাতা leaf drop হইতাছে, spray দিছি, Chittagong style,Yellow Leaf Curl
পাতা leaf drop হইতাছে, পানি বেশি দিতাছি, Barisal style,Yellow Leaf Curl
